Skills,Description,Percentage of new career starts,Percentage of pay increase or promotion,Estimated Time to Complete,Instructors
"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,Virtual Machine,Network Architecture,Debugging,Cloud Storage,Data Store,Load Balancing,Virtual Private Network (VPN),Autoscaling","This specialization introduces learners to the comprehensive and flexible infrastructure and platform services provided by Google Cloud Platform, with a focus on Compute Engine. Through a combination of presentations, demos, and hands-on labs, participants explore and deploy solution elements, including infrastructure components such as networks, systems and applications services. This course also covers deploying practical solutions including securely interconnecting networks, customer-supplied encryption keys, security and access management, quotas and billing, and resource monitoring.

This class is intended for Cloud Solutions Architects, DevOps Engineers or individuals using Compute Engine.

Note: This Specialization used to be called Architecting with Google Cloud Platform. As the Specialization is now focused on Compute Engine as the computing platform, we have renamed it to Architecting with Google Compute Engine. If you are looking to learn more about App Engine, Cloud Functions and Google Kubernetes Engine, which are services previously covered in the Elastic Cloud Infrastructure: Containers and Services course of this specialization, please refer to the Developing Applications with Google Cloud Platform Specialization and the Architecting with Kubernetes Engine Specialization.

>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",36.0,50.0,Approx. 3 months to complete,Google Cloud Training
"Positioning (Marketing),Marketing,Marketing Strategy,Customer Satisfaction,Financial Accounting,Accounting,Financial Statement,Balance Sheet,Decision-Making,Change Management,Human Resources (HR),Discounted Cash Flow","In this Specialization, you’ll develop basic literacy in the language of business, which you can use to transition to a new career, start or improve your own small business, or apply to business school to continue your education. In five courses, you’ll learn the fundamentals of marketing, accounting, operations, and finance. In the final Capstone Project, you’ll apply the skills learned by developing a go-to-market strategy to address a real business challenge.",48.0,11.0,Approx. 7 months to complete,"Peter Fader,Christian Terwiesch,Jagmohan Raju,Brian J Bushee,Peter Cappelli,Michael R Roberts,Barbara E. Kahn,Michael Useem"
"Github,Machine Learning,R Programming,Regression Analysis,Data Science,Rstudio,Data Analysis,Debugging,Data Manipulation,Regular Expression (REGEX),Data Cleansing,Cluster Analysis","Ask the right questions, manipulate data sets, and create visualizations to communicate results.

This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, you’ll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",43.0,19.0,Approx. 11 months to complete,"Jeff Leek, PhD,Roger D. Peng, PhD,Brian Caffo, PhD"
"Tensorflow,Bigquery,Google Cloud Platform,Cloud Computing","This program provides the skills you need to advance your career in data engineering and recommends training to support your preparation for the industry-recognized Google Cloud Professional Data Engineer certification. Through a combination of presentations, demos, and labs, you will enable data-driven decision making by collecting, transforming, and publishing data; and you'll gain real world experience through a number of hands-on Qwiklabs projects.

You'll also have the opportunity to practice key job skills, including designing, building, and running data processing systems; and operationalizing machine-learning models.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers.

If you would like to become Google Cloud certified and demonstrate your proficiency to design and build data processing systems and operationalize machine learning models on Google Cloud Platform, you will need to register for, and pass the official Google Cloud certification exam. You can find more details on how to register and additional resources to support your preparation at cloud.google.com/certifications.",45.0,45.0,Approx. 4 months to complete,Google Cloud Training
"Data Science,Deep Learning,Artificial Intelligence (AI),Machine Learning,Watson AI,Jobs,Application Programming Interfaces (API),watson,Python Programming,Numpy,Pandas,Artifical Intelligence","Artificial Intelligence (AI) is transforming our world. Whether you’re a student, developer, or a technology consultant, understanding AI and knowing how to create AI powered applications can give you an edge in your career. This Professional Certificate is designed to arm you with the skills to work as an AI Application Developer.

It will give you a firm understanding of AI, its applications, and its use cases. You will become familiar with IBM Watson AI services and APIs. Even if you have no programming background, you will be able to create AI driven chatbots as well as pick up practical Python skills to work with AI. The courses will also enable you to apply pre-built AI smarts to your products and solutions. A learner with no prior knowledge of AI will learn to design, build, and deploy AI-powered applications on the web.

Rather than create complex AI algorithms and interfaces from scratch, learners will use IBM Watson AI services and APIs to create smart applications with minimal coding. By the end of this Professional Certificate, learners will complete several projects that showcase proficiency in applying AI and building AI powered solutions.",41.0,14.0,Approx. 7 months to complete,"Joseph Santarcangelo,Yi Leng Yao,Sacchit Chadha,Rav Ahuja,Tanmay Bakshi,Antonio Cangiano"
"Tensorflow,Bigquery,Google Cloud Platform,Cloud Computing","This online specialization provides participants a hands-on introduction to designing and building data pipelines on Google Cloud Platform. Through a combination of presentations, demos, and hand-on labs, participants will learn how to design data processing systems, build end-to-end data pipelines, analyze data and derive insights. The course covers structured, unstructured, and streaming data.

This course teaches the following skills:

• Design and build data pipelines on Google Cloud Platform

• Lift and shift your existing Hadoop workloads to the Cloud using Cloud Dataproc.

• Process batch and streaming data by implementing autoscaling data pipelines on Cloud Dataflow

• Manage your data Pipelines with Data Fusion and Cloud Composer.

• Derive business insights from extremely large datasets using Google BigQuery

• Learn how to use pre-built ML APIs on unstructured data and build different kinds of ML models using BigQuery ML.

• Enable instant insights from streaming data

This class is intended for developers who are responsible for:

• Extracting, Loading, Transforming, cleaning, and validating data

• Designing pipelines and architectures for data processing

• Integrating analytics and machine learning capabilities into data pipelines

• Querying datasets, visualizing query results and creating reports

>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",45.0,45.0,Approx. 3 months to complete,Google Cloud Training
"Data Validation,Microsoft Excel,Microsoft Excel Macro,Pivot Table,Graphs,Spreadsheet,Chart,Concatenation,Consolization,Pivot Chart,Lookup Table,Microsoft Excel Vba","This specialization is intended for anyone who seeks to develop one of the most critical and fundamental digital skills today. Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. In the United States alone, millions of job advertisements requiring Excel skills are posted every day. Research by Burning Glass Technologies and Capital One shows that digital skills lead to higher income and better employment opportunities. At a time when digital skills jobs are growing much faster than non-digital jobs, completing this specialization will position you way ahead of others.

In this Specialization, learners develop advanced Excel Skills for Business. Upon completing the four courses in this Specialization, learners can design sophisticated spreadsheets, including professional dashboards, and perform complex calculations using advanced Excel features and techniques. Learners have acquired the skills to manage large datasets efficiently, extract meaningful information from datasets, present data and extract information effectively. In addition, learners have mastered the skills needed to validate data and prevent errors in spreadsheets, create automation, apply advanced formulas and conditional logic to help make decisions and create spreadsheets that help forecast and model data.",42.0,32.0,Approx. 6 months to complete,A/Professor Yvonne Breyer
"Data Science,Machine Learning,Github,R Programming,Exploratory Data Analysis,Rstudio,Data Analysis,Debugging,Data Manipulation,Regular Expression (REGEX),Data Cleansing,Cluster Analysis","Ask the right questions, manipulate data sets, and create visualizations to communicate results.

This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.",39.0,15.0,Approx. 5 months to complete,"Jeff Leek, PhD,Roger D. Peng, PhD,Brian Caffo, PhD"
"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing","The Architecting with Google Kubernetes Engine specialization will teach you how to implement solutions using Google Kubernetes Engine, or GKE, including building, scheduling, load balancing, and monitoring workloads, as well as providing for discovery of services, managing role-based access control and security, and providing persistent storage to these applications.",67.0,33.0,Approx. 1 month to complete,Google Cloud Training
"Behavioral Finance,Financial Markets,Finance,Behavioral Economics","An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society.",Missing,Missing,Approx. 27 hours to complete,Robert Shiller
"Debugging,Cloud Storage,Google Cloud Platform,Cloud Computing,Google Compute Engine,Google App Engine (GAE),Data Store,Application Programming Interfaces (API),Google Container Engine","In this specialization, application developers learn how to design, develop, and deploy applications that seamlessly integrate managed services from the Google Cloud Platform (GCP). Through a combination of presentations, demos, and hands-on labs, participants learn how to use GCP services and pre-trained machine learning APIs to build secure, scalable, and intelligent cloud-native applications. Learners can choose to complete labs in their favorite language: Node.js, Java, or Python.

This class is intended for application developers who want to build cloud-native applications or redesign existing applications that will run on Google Cloud Platform.

This course teaches participants the following skills:

• Use best practices for application development.

• Choose the appropriate data storage option for application data.

• Implement federated identity management.

• Develop loosely coupled application components or microservices.

• Integrate application components and data sources.

• Debug, trace, and monitor applications.

• Perform repeatable deployments with containers and deployment services.

• Choose the appropriate application runtime environment; use Google Kubernetes Engine as a runtime environment and later switch to a no-ops solution with Google App Engine flexible environment.",50.0,17.0,Approx. 1 month to complete,Google Cloud Training
"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing","Through recorded lectures, demonstrations, and hands-on labs, participants explore and deploy the components of a secure Google Cloud solution, including Cloud Identity, the GCP Resource Manager, Cloud IAM, Google Virtual Private Cloud firewalls, Google Cloud Load balancing, Cloud CDN, Cloud Storage access control technologies, Security Command Center, Stackdriver, Security Keys, Customer-Supplied Encryption Keys, the Google Data Loss Prevention API, and Cloud Armor. Participants learn mitigations for attacks at many points in a Google Cloud-based infrastructure, including Distributed Denial-of-Service attacks, phishing attacks, and threats involving content classification and use.

>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",36.0,33.0,Approx. 4 months to complete,Google Cloud Training
"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing","This specialization gives participants broad study of core infrastructure and networking options on Google Cloud Platform. Through recorded lectures, demonstrations, and hands-on labs, participants explore and deploy GCP networking technologies, such as Google Virtual Private Cloud (VPC) networks, subnets, firewalls; interconnection among networks; load balancing; Cloud DNS; Cloud CDN. The specialization will also cover common network design patterns and automated deployment using Deployment Manager.

This class is intended for the following participants:

● Network Engineers and Admins who are either using Google Cloud Platform or are planning to do so

● Individuals who want to be exposed to software-defined networking solutions in the cloud.

To get the most out of this course, participants should have:

*Prior understanding of the OSI 7-layer model

*Prior understanding of IPv4 addressing

*Prior experience with managing IPv4 routes",67.0,20.0,Approx. 2 months to complete,Google Cloud Training
"Financial Modeling,Corporate Finance,Microsoft Excel,Modeling,Linear Regression,Probabilistic Models,Regression Analysis,Monte Carlo Method,Linear Programming (LP),Solver,Discounted Cash Flow,Decision-Making","The role of an Analyst is dynamic, complex, and driven by a variety of skills. These skills range from a basic understanding of financial statement data and non-financial metrics that can be linked to financial performance, to a deeper dive into business and financial modeling. Analysts also utilize spreadsheet models, modeling techniques, and common investment analysis application as part of their toolkit to make informed financial decisions and investments.

This multifaceted specialization will equip a learner who might be interested in entering the dynamic world of data and business analysis, and/or is interested gaining deeper technical knowledge in Finance and Quantitative Modeling. Starting from the fundamentals of quantitative modeling, you will learn how to put data to work by using spreadsheets and leverage spreadsheets as a powerful, accessible data analysis tool. You will also be introduced to the world of corporate finance, and gain a better understanding of finance fundamentals, including a variety of real-world situations spanning personal finance, corporate decision-making and financial intermediation.",38.0,12.0,Approx. 4 months to complete,"Richard Waterman,Don Huesman,Richard Lambert,Christopher D. Ittner,Michael R Roberts"
"Ethics,Active Listening,Public Health,Contact Tracing,Epidemiology","The COVID-19 crisis has created an unprecedented need for contact tracing across the country, requiring thousands of people to learn key skills quickly. The job qualifications for contact tracing positions differ throughout the country and the world, with some new positions open to individuals with a high school diploma or equivalent. In this introductory course, students will learn about the science of SARS-CoV-2 , including the infectious period, the clinical presentation of COVID-19, and the evidence for how SARS-CoV-2 is transmitted from person-to-person and why contact tracing can be such an effective public health intervention. Students will learn about how contact tracing is done, including how to build rapport with cases, identify their contacts, and support both cases and their contacts to stop transmission in their communities. The course will also cover several important ethical considerations around contact tracing, isolation, and quarantine. Finally, the course will identify some of the most common barriers to contact tracing efforts -- along with strategies to overcome them.",Missing,Missing,Approx. 5 hours to complete,"Emily Gurley, PhD, MPH"
"Customer Analytics,Analytics,Business Analytics,Decision Tree,Predictive Analytics,Regression Analysis,Marketing Performance Measurement And Management,Simulation,Mathematical Optimization,Solver,Talent Management,Performance Management","This Specialization provides an introduction to big data analytics for all business professionals, including those with no prior analytics experience. You’ll learn how data analysts describe, predict, and inform business decisions in the specific areas of marketing, human resources, finance, and operations, and you’ll develop basic data literacy and an analytic mindset that will help you make strategic decisions based on data. In the final Capstone Project, you’ll apply your skills to interpret a real-world data set and make appropriate business strategy recommendations.",46.0,21.0,Approx. 6 months to complete,"Noah Gans,Ron Berman,Senthil Veeraraghavan,Peter Fader,Eric Bradlow,Matthew Bidwell,Martine Haas,Wharton Teaching Staff,Cade Massey,Sergei Savin,Brian J Bushee,Christopher D. Ittner,Raghu Iyengar"
"Using Version Control,Troubleshooting & Debugging,Python Programming,Configuration Management,Automation,Basic Python Data Structures,Fundamental Programming Concepts,Basic Python Syntax,Object-Oriented Programming (OOP),Setting up your Development Environment,Regular Expression (REGEX),Testing in Python","This new beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.

Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. It’s designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completing the program, you’ll have the option to share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, you’ll need a computer where you can install Git or ask your administrator to install it for you.

If you’d like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.",Missing,Missing,Approx. 8 months to complete,GoogleTop Instructor
"Financial Modeling,Microsoft Excel,Simulation,Linear Programming (LP),Modeling,Linear Regression,Probabilistic Models,Regression Analysis,Monte Carlo Method,Solver,Risk,Cash Flow","Wharton's Business and Financial Modeling Specialization is designed to help you make informed business and financial decisions. These foundational courses will introduce you to spreadsheet models, modeling techniques, and common applications for investment analysis, company valuation, forecasting, and more. When you complete the Specialization, you'll be ready to use your own data to describe realities, build scenarios, and predict performance.",44.0,22.0,Approx. 6 months to complete,"Richard Waterman,Robert W. Holthausen,Don Huesman,Senthil Veeraraghavan,Richard Lambert,Sergei Savin"
"Text Mining,Python Programming,Pandas,Matplotlib,Numpy,Data Cleansing,Data Virtualization,Data Visualization (DataViz),Machine Learning (ML) Algorithms,Machine Learning,Scikit-Learn,Natural Language Toolkit (NLTK)","The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.",36.0,23.0,Approx. 5 months to complete,"Christopher Brooks,Kevyn Collins-Thompson,V. G. Vinod Vydiswaran,Daniel Romero"
"Visual Communication,Branding Communication,Graphic Design,Art History,Typography,Creativity,Graphics,Design Theory,Color Theory,Adobe Illustrator,History,Adobe Indesign","Graphic design is all around us, in a myriad of forms, both on screen and in print, yet it is always made up of images and words to create a communication goal. This four-course sequence exposes students to the fundamental skills required to make sophisticated graphic design: process, historical context, and communication through image-making and typography. The sequence is completed by a capstone project that applies the skills of each course and peer feedback in a finished branding project suitable for a professional portfolio.

The goal of this specialization is to equip learners with a set of transferable formal and conceptual tools for “making and communicating” in the field of graphic design. This core skill set will equip learners for formal studies in graphic design, and a starting point for further work in interface design, motion graphics, and editorial design.",67.0,12.0,Approx. 6 months to complete,"Michael Worthington,Louise Sandhaus,Anther Kiley,Gail Swanlund,Lorraine Wild"
"reasoning,Problem Solving,abstract thinking,analytical thinking,Critical Thinking","What are people most afraid of? What do our dreams mean? Are we natural-born racists? What makes us happy? What are the causes and cures of mental illness? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of thought and behavior. It explores topics such as perception, communication, learning, memory, decision-making, persuasion, emotions, and social behavior.  We will look at how these aspects of the mind develop in children, how they differ across people, how they are wired-up in the brain, and how they break down due to illness and injury.",Missing,Missing,Approx. 15 hours to complete,Paul Bloom
"Computer Vision,Convolutional Neural Network,Machine Learning,Natural Language Processing,Tensorflow,Inductive Transfer,Augmentation,Dropouts,Tokenization,RNNs,Forecasting,Time Series","Discover the tools software developers use to build scalable AI-powered algorithms in TensorFlow, a popular open-source machine learning framework.

In this four-course Specialization, you’ll explore exciting opportunities for AI applications. Begin by developing an understanding of how to build and train neural networks. Improve a network’s performance using convolutions as you train it to identify real-world images. You’ll teach machines to understand, analyze, and respond to human speech with natural language processing systems. Learn to process text, represent sentences as vectors, and input data to a neural network. You’ll even train an AI to create original poetry!

AI is already transforming industries across the world. After finishing this Specialization, you’ll be able to apply your new TensorFlow skills to a wide range of problems and projects.

Looking for more advanced TensorFlow content? Check out the new TensorFlow: Data and Deployment Specialization.",40.0,12.0,Approx. 4 months to complete,Laurence Moroney
"Digital Marketing,Marketing,Pricing Strategies,Marketing Mix,Product Strategies,Analytics,Marketing Analytics,Marketing Performance Measurement And Management,Data Analysis,Data Visualization (DataViz),Mobile Marketing,Social Media","Master strategic marketing concepts and tools to address brand communication in a digital world.

This Specialization explores several aspects of the new digital marketing environment, including topics such as digital marketing analytics, search engine optimization, social media marketing, and 3D Printing. When you complete the Digital Marketing Specialization you will have a richer understanding of the foundations of the new digital marketing landscape and acquire a new set of stories, concepts, and tools to help you digitally create, distribute, promote and price products and services.

In 2016, this was one of the top 10 specializations in terms of enrollments. INC Magazine rated the first course, Marketing in a Digital World, as one of The 10 Hottest Online Classes for Professionals in 2015. In addition, this course was also ranked in the top five courses across multiple MOOC providers. Finally, the Digital Marketing Certificate was the top coveted certificate on Coursera in 2015. Get more updates on the specialization at http://digitalmarketingprofs.com/

This Specialization is part of the University of Illinois Masters of Business Administration degree program, the iMBA. Learn more about the admission into the program here.",48.0,16.0,Approx. 8 months to complete,"Aric Rindfleisch,Kevin Hartman,Mike Yao,Vishal Sachdev"
